At all costs / at any costs | Meaning: to do everything you can to achieve something regardless of the difficulty, and expense involved. | Example: His dream is to become a great lawyer at all costs.; They were determined to win the game at any cost.

as easy as pie | Meaning: very easy | Example: The test is as easy as pie. Searching for beautiful flower images online is as easy as pie nowadays.; After so many years as an English teacher, doing taxes is as easy as pie for me.

a drop in the ocean | Meaning: a very small amount compared to what is required or needed. | Example: The amount of money that he gave me last night is just a drop in the ocean compared to what I needed.; I feel what I am doing is just a drop in the ocean. 

actions speak louder than words | Meaning: used for expressing that what you do something is more important than just talking about it. | Example: He usually talks about the importance of charity but never does anything. Actions speak louder than words; Because actions speak louder than words, do not talk much, just act.

a hot potato | Meaning: a controversial topic, issue or situation | Example: Money policy is fast becoming a hot potato.; The issues of abortion and tax have become real hot potatoes in my country these days.

against the clock | Meaning: to do something quickly to finish it before a particular time. | Example: She is working against the clock to finish her essay by today.; We have to work against the clock to meet the deadline (to finish the project on time).

a rip-off | Meaning: something that is unreasonably expensive | Example: We shouldn’t have spent so much. That’s a rip-off.; $60 for a cup of coffee is a complete rip-off.

at first| Meaning: in the beginning | Example: Don’t judge anyone or anything at first sight.; Try again if you fail at first.

around the corner| Meaning: coming very soon | Example: Tom is quite nervous because his exam is just around the corner.; Spring is just around the corner.

a mile a minute| Meaning: very quickly | Example: He walks a mile a minute and is very difficult to keep up with.; She is talking a mile a minute.

a man of his word | Meaning: someone who does what he promises to do | Example: He is obviously a man of his word. You can trust him.; Tom is a man of his word. He always does what he says he is going to.

to ace a test | Meaning: to do well in a test; to get a very high score on a test | Example: You need to study hard to ace a test.; She had actually aced a test in math, a subject that had never come easily for her.

a bad egg | Meaning: someone who is bad and untrustworthy | Example: That guy is a bad egg. Don’t trust him.; Be careful of her. She is a bad egg.

to bump into somebody | Meaning: meet somebody by chance | Example: I bumped into her at the mall.; I bumped into him at the pub a couple of days ago.

| Meaning: | Example: 

| Meaning: | Example: 

| Meaning: | Example: 

| Meaning: | Example: 

| Meaning: | Example: 
