Viable | Meaning: able to work or succeed | Synonyms: feasible; workable; possible | Collocation: *viable* option / alternative / solution | Example: The project is not *a viable option* without more funding.; *A viable solution* is to heavily punish lawbreakers. 4*If* sports clubs and establishments raise the fine for using banned substances, many athletes will think twice before making attempt to cheat. 13*Another way to deal with this issue* is to upgrade testing amenities. 4*This will eradicate* any holes existing in the system and ensure that the test result is highly accurate. 4*For instance,* after the UFC had made major investments to provide their staff with the latest testing equipment, many fighters in their organization got caught. | Essay Question: In many professional sports, 8*there is an increase in the number of athletes using banned substances* to improve their performance. 10*What are the causes of the phenomenon* and 11*what are some of the possible solutions?* | 3*Band 8 Version*: One effective way to combat doping in professional sports is to impose far stricter penalties on offenders. If sporting organizations introduced heavier financial sanctions and lengthy suspensions for athletes who use prohibited substances, many competitors would be far less likely to risk damaging their careers and reputations. In addition, anti-doping authorities should invest in more advanced testing technology and screening procedures. Doing so would help eliminate loopholes within the current system and significantly improve the accuracy of test results. For example, after the UFC invested heavily in state-of-the-art detection equipment, a considerable number of fighters were found to have violated anti-doping regulations. | 3*Band 9 Version*: A highly effective measure to deter the use of performance-enhancing substances is the enforcement of severe disciplinary and financial penalties against offenders. Were sporting authorities to impose lengthy bans, revoke titles, and levy substantial fines on athletes found guilty of doping, many competitors would likely reconsider engaging in such unethical practices due to the potentially irreversible damage to both their careers and public reputations. Equally important is the need to strengthen anti-doping infrastructure through investment in cutting-edge detection technology and more rigorous testing protocols. By closing existing regulatory loopholes and enhancing the reliability of screening procedures, sports organizations would be better equipped to identify violations accurately and consistently. This can already be seen in the UFC, where significant investment in advanced testing systems resulted in numerous fighters testing positive for banned substances.


Schooling | Meaning: the education you get at school | Synonyms: education; learning; training | Collocation: primary / secondary *schooling* | Example: *Good primary schooling* is important for a child's future.; I believe that parents play a more important role in teaching them how to be good citizens. In Vietnam, the average class size is 20 students, which makes it difficult for educators to provide *proper schooling* for each student. One to one lesson at home4*, on the other hand,* allow children to progress faster. 4*Furthermore,* parents form stronger bonds with their offspring 4*and thus,* it is easier for them to shape children’s personalities at an early age. 4*For example,* by telling stories such as Robin Hood, Cinderella before bedtime, parents can instill a sense of compassion and integrity into them. These children are likely to become good members of society when they grow up. | Essay Question: Some people think that 8*parents should teach their children how to be good members of society*. Others, however, believe that 8*school is the best place to learn this*. 10*Discuss both views and give your own opinion.*

Renowned | Meaning: famous and respected | Synonyms:well-known, famous, celebrated |  Collocation: *renowned* expert, *renowned* for | Example: He is *a renowned expert* in the field of biology.; 10*The main advantage of* the increasing number of these types of companies is the economic progress. 4*That is to say,* if multinational organizations operate in less-developed nations, 11*this can bring* wealth which boosts industries, trade11*, and other aspects* of the economy. 10*Moreover,* more jobs will be available for the local people. 4*That is because* more workers and managers are needed to work for these companies which can be a good opportunity for locals to find a job. 4*For instance,* after opening a branch of Apple company in Dubai, many local graduates were thrilled by the good news of being accepted to work under this *renowned company*. | Essay Question: Multinational companies 8*are becoming increasingly common* in developing countries. 10*What are the advantages and disadvantages of this?*  

Prime | Meaning: best or most important | Synonyms: best; top; main | Collocation: *prime* example / solution / advantage / reason | Example: This is *a prime example* of excellent customer service.; The *prime disadvantage* is that these companies use the natural resources of developing nations recklessly, which affects the environment. 4*In other words,* smaller, less developed governments often trade an increase in revenue for access to natural resources. 4*This* extraction of raw materials, such as oil, diamond, rubber and fuel, can cause environmental externalities- polluted rivers and loss of natural landscape. 4*For instance,* many Chinese private enterprises have been heavily criticized for using the resources of countries like Vietnam, Thailand and the Philippine and for polluting the environment. | Essay Question: Multinational companies 8*are becoming increasingly common* in developing countries. 10*What are the advantages and disadvantages of this?*

Prone | Meaning: likely to do or experience something | Synonyms: likely; inclined; susceptible | Collocation: *prone* to errors | Example: Children are *prone to making mistakes* when they are learning.; 13*Following a vegetarian diet allows the body to work better.* 4*This is because* science has shown that when our human system digests animal products, such as meat, it has to work harder to process the food that it is not designed to receive. 4*Thus,* people who have a diet based on plants and seeds *are more prone to having a healthier life* because they allow their bodies to focus their energy on its normal processes. 4*For instance,* people who become vegetarian *are less prone to get sick* 6*because* their immune system has all the energy focused on fighting bacteria and not causing chronic inflammation because of the food. 4*That is why I consider that* following a vegetarian diet can have more benefits in the long term. | Essay Question: In some countries, it 8*is becoming increasingly common* for people to follow a 8*vegetarian diet.* 10*Do the advantages of this outweigh the disadvantages?*  

Officials | Meaning: people in authority  | Synonyms: authorities; leaders; administrators | Collocation: government *officials*, public *officials* | Example: 4*In conclusion,* I do not support the argument of newspapers publishing the personal information of *government officials*. 4*This is because* it will result in 8*the violation of their privacy* and also 4*the primary focus of* news agencies should be 8*to highlight key issues* concerning the nation. | Essay Question: Details of politicians’ private lives should not be published in newspapers. 10*To what extent do you agree or disagree?* 

