1. ANIMALS | 7 words about "*Animals*": amphibian; carnivore; herbivore; omnivore; predator; prey; parasite | 9*1. amphibian*:✦ | 9*2. carnivore*:✦ | 9*3. herbivore*:✦ |  9*4. omnivore*:✦ | 9*5. predator*:✦ | 9*6. prey*:✦ | 9*7. parasite*:✦

2. CHANGES | 7 words about "*Changes*": acclimatize; merge; restore; amend; deviate; distort; divert | 9*Acclimatize*:✦ *acclimatize* ➜ to get used to a new 11*place, situation or climate*; Arrive two days early in order to acclimatize.; 4*acclimatize to something* ⇒ It takes many months to acclimatize to life in the tropics.; 4*be/get acclimatized to something* ⇒ We haven’t got acclimatized to village life yet.; 4*acclimatize yourself* (to something) ⇒ She was fine once she had acclimatized herself to the cold.; | 9*Distort*:✦ *distort something* ➜ to change facts, ideas, etc. so that they are no longer correct or true; Newspapers are often guilty of distorting the truth.; *distort something* ⇒ to change the shape, appearance or sound of something so that it is strange or not clear; a fairground mirror that distorts your shape;The loudspeaker seemed to distort his voice.    

1. Acclimatize | Word Form: ac6*climat*ze; acclimatiz6*ation*  | Collocations: acclimatize 16*to*  | Examples:✦ Allow time for your body to *acclimatize* to the high altitude.; Take a few days to *acclimatize* to the new time zone.; I’m sure that we will *acclimatize* very quickly to the new economic situation. | Synonyms: get used; adjust; adapt; conform

2. Merge | Word Form: merges; merging; merged; merge16*r*; 16*e*merge; 16*un*merge | Collocations: merge 16*with*; merge 16*into*; merge 16*together* | Examples:✦ The Bank of America *merged* with Merrill Lynch.; Modern and traditional architectural elements *merge* in a clever way. | Synonyms: amalgamate; blend; unite; combine; join

3. Restore | Word Form: restores; restoring; restored; restor6*ation* | Collocations: restore 16*confidence*; restore 16*order*; restore 16*peace*; restore 16*democracy* | Examples:✦ The army was brought in to *restore* order.; The death penalty *was restored*.; The new government *restored confidence* in the economy. | Synonyms: bring back; rebuild; re-establish; put back; reinstate; recover 

